"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","60","750.39","753.9000244","759.210022","766.3200073","775.2299805","785.9299927","798.4299927","812.7299805","828.8200073","846.710022","0.75","0.74000001","0.74000001","0.720000029","0.709999979","0.680000007","0.660000026","0.620000005","0.589999974","0.540000021","2018-08-10 14:53:27"
"2","80","1041.4","1012.650024","984.960022","958.8800049","934.9299927","913.6699829","895.6199951","881.3300171","871.3400269","866.1799927","0.8","0.790000021","0.779999971","0.769999981","0.75999999","0.74000001","0.709999979","0.670000017","0.629999995","0.569999993","2018-08-10 14:53:50"
"3","100","780.07","803.3300171","821.0499878","833.710022","842.0200195","846.8699951","849.4000244","850.9500122","853.0900269","857.5700073","0.8","0.790000021","0.790000021","0.790000021","0.779999971","0.769999981","0.74000001","0.709999979","0.660000026","0.589999974","2018-08-10 14:54:09"
"4","120","971.87","955.0200195","941.710022","930.4199829","919.9299927","909.3699951","898.3900146","887.2299805","876.8400269","869","0.8","0.790000021","0.790000021","0.790000021","0.790000021","0.779999971","0.75999999","0.74000001","0.689999998","0.610000014","2018-08-10 14:54:31"
"5","140","862.1","871.4000244","878.0200195","882.5999756","885.2299805","885.7399902","883.8800049","879.6900024","873.8900146","868.3099976","0.45","0.479999989","0.50999999","0.550000012","0.579999983","0.610000014","0.639999986","0.649999976","0.639999986","0.589999974","2018-08-10 14:54:51"
"6","160","1023.04","1007.880005","994.039978","980.9099731","967.9199829","954.3900146","939.539978","922.7000122","903.7199707","883.7800293","0.4","0.400000006","0.419999987","0.439999998","0.469999999","0.5","0.540000021","0.569999993","0.589999974","0.569999993","2018-08-10 14:55:14"
"7","180","997.65","998.6699829","996.9299927","992.6300049","985.7600098","976.0200195","962.789978","945.1799927","922.5100098","895.1699829","0.4","0.400000006","0.400000006","0.409999996","0.430000007","0.449999988","0.479999989","0.519999981","0.550000012","0.560000002","2018-08-10 14:55:38"
"8","200","1080.07","1071.930054","1063.439941","1053.839966","1042.349976","1028.050049","1009.700012","985.6500244","954.0200195","913.6599731","0.6","0.579999983","0.560000002","0.540000021","0.529999971","0.519999981","0.529999971","0.540000021","0.560000002","0.560000002","2018-08-10 14:56:01"
"9","220","781.64","810.6699829","838","863.2999878","885.9199829","904.8400269","918.4699707","924.4500122","919.5499878","900.460022","0.05","0.100000001","0.150000006","0.189999998","0.239999995","0.280000001","0.330000013","0.389999986","0.460000008","0.50999999","2018-08-10 14:56:22"
"10","240","685.93","698.4099731","716.3499756","739.1400146","765.9299927","795.3900146","825.460022","852.8900146","872.8200073","879.0100098","0.5","0.460000008","0.430000007","0.400000006","0.389999986","0.389999986","0.400000006","0.419999987","0.460000008","0.50999999","2018-08-10 14:56:38"
"11","260","885.93","867.1799927","852.0200195","841.9000244","837.9299927","840.6599731","849.6500244","862.7999878","875.4400024","879.7000122","0.25","0.270000011","0.280000001","0.289999992","0.300000012","0.319999993","0.340000004","0.370000005","0.419999987","0.479999989","2018-08-10 14:56:59"
"12","280","798.82","805.6599731","809.460022","811.7399902","814.4699707","819.7399902","829.3200073","843.6099854","860.1199951","871.6099854","0.45","0.430000007","0.409999996","0.400000006","0.389999986","0.379999995","0.379999995","0.389999986","0.430000007","0.479999989","2018-08-10 14:57:17"
