"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","70","304.68","298.4299927","292.1799927","285.9299927","279.6799927","273.4299927","267.1799927","260.9299927","254.6799927","248.4299927","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:23:44"
"2","105","235.49","241.7799988","246.8300018","250.6199951","253.1600037","254.4600067","254.5","253.3000031","250.8399963","247.1399994","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:24:18"
"3","140","435.49","416.1199951","397.75","380.0299988","362.5599976","344.9700012","326.8999939","307.9500122","287.769989","265.9700012","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:24:57"
"4","175","241.07","258.5700073","272.3999939","282.75","289.6600037","293.019989","292.5599976","287.8900146","278.4299927","263.480011","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:25:37"
"5","210","306.02","301.2799988","299.2999878","299.0400085","299.480011","299.519989","297.9500122","293.3299866","283.9500122","267.7399902","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:26:10"
"6","245","361.83","355.769989","349.3200073","342.9899902","336.8900146","330.6700134","323.5","313.8800049","299.519989","277.1400146","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:26:52"
"7","280","214.06","228.2299957","241.1100006","252.7400055","263.1900024","272.3699951","279.7200012","283.9299927","282.4299927","270.8399963","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:27:31"
"8","315","564.28","530.6799927","499.6499939","470.8200073","443.8399963","418.3200073","393.5499878","368.0400085","338.7999878","300.1799927","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:28:07"
"9","350","264.73","291.3200073","311.7099915","326.5499878","336.3699951","341.5299988","342.019989","337.0400085","323.9899902","296.6400146","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:28:38"
"10","385","377","368.4400024","363.9500122","361.8699951","360.75","359.2600098","356.0100098","349.0299988","334.5899963","304.6700134","0.05","0.050000001","0.039999999","0.039999999","0.029999999","0.02","0.02","0.01","0.01","0","2018-08-08 20:29:09"
"11","420","353.57","355.0499878","355.6400146","356.0599976","356.4400024","356.4200134","355.0299988","350.3900146","338.3900146","309.5599976","0","0","0","0.01","0.01","0.01","0.01","0.01","0","0","2018-08-08 20:29:47"
"12","455","400","395.5","391.1199951","386.8099976","382.5700073","378.2099915","373.019989","365.269989","350.7099915","318.6000061","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:30:33"
"13","490","255.8","269.769989","282.8599854","295.1000061","306.5100098","317","326.1300049","332.4299927","331.730011","312.3200073","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:31:07"
"14","525","432.58","416.2999878","402.6400146","391.3399963","382.1499939","374.7900085","368.7099915","362.480011","351.8999939","324.3500061","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:31:41"
"15","560","375.22","379.3299866","380.7000122","380.0499878","377.9899902","375.0100098","371.3099976","366.2999878","356.5599976","329.4400024","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:32:18"
"16","595","308.25","315.3599854","322.7399902","329.7900085","336.1499939","341.6300049","346.0899963","348.8900146","346.8999939","327.3200073","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:32:50"
"17","630","410.71","401.1700134","393.1199951","386.4299927","380.8900146","376.1700134","371.9400024","367.4299927","359.6600037","335.6600037","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:33:26"
"18","665","202.23","222.1199951","240.3999939","257.4899902","273.6900024","289.2000122","304.0499878","317.8699951","328.1700134","322.3099976","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:34:01"
"19","700","189.73","192.9700012","199.8600006","210.0599976","223.3099976","239.4600067","258.3200073","279.4299927","300.4899902","309.0599976","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:34:34"
"20","735","348.43","332.8900146","318.7200012","306.9200134","298.3800049","293.9500122","294.3699951","300.1300049","310.0700073","312.9899902","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:35:11"
"21","770","187.94","202.4400024","214.1000061","223.6300049","232.1199951","240.9400024","251.8000031","266.4700012","285.6499939","300.4899902","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:35:51"
"22","805","271.65","264.730011","260.1400146","257.2399902","255.8399963","256.2999878","259.7399902","268.0299988","282.8500061","297.6000061","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:36:26"
"23","840","324.55","318.5700073","311.6700134","304.3599854","297.0599976","290.4200134","285.6600037","284.980011","291.1900024","300.2999878","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:37:06"
"24","875","178.12","192.1600037","204.8300018","215.9900055","225.6999969","234.2700043","242.6399994","252.9199982","268.5700073","288.0799866","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:37:42"
"25","910","402.45","381.4200134","362.9299927","346.5100098","331.75","318.3599854","306.5700073","297.7799988","295.3500061","299.519989","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:38:20"
"26","945","207.81","225.1699982","238.8300018","249.4199982","257.3800049","263.0799866","267.0599976","270.7900085","277.8399963","290.3500061","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:38:50"
"27","980","459.82","436.3500061","415.6199951","396.7000122","378.8399963","361.4500122","344.1600037","327.5","314.2399902","307.2900085","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:39:20"
"28","1015","233.03","253.3600006","269.5499878","282.1300049","291.3599854","297.2399902","299.7099915","299.1600037","298","299.8699951","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:40:03"
"29","1050","320.08","313.4100037","309.980011","308.7000122","308.5899963","308.6600037","307.8599854","305.4400024","302.4100037","301.8900146","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:40:39"
"30","1085","336.83","334.480011","331.4599915","328.3900146","325.5299988","322.7399902","319.4500122","314.8500061","309.2999878","305.3800049","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:41:21"
"31","1120","172.09","188.3300018","203.9700012","218.9799957","233.4700012","247.4199982","260.5100098","272.019989","281.8500061","292.0499878","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:41:57"
"32","1155","325.44","311.730011","301.1499939","293.5","288.6499939","286.4299927","286.480011","288.0499878","290.5700073","295.3900146","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:42:35"
"33","1190","353.12","348.980011","342.730011","335.2399902","327.3299866","319.769989","313.1400146","307.5700073","303.0799866","301.1700134","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:43:13"
"34","1225","311.6","315.3399963","317.8299866","318.6900024","317.8900146","315.6900024","312.519989","308.7799988","304.7900085","302.2099915","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:43:49"
"35","1260","259.82","265.3699951","271.4200134","277.480011","283.0499878","287.75","291.4400024","294.0899963","295.7900085","297.9700012","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:44:28"
"36","1295","322.99","317.2200012","312.6700134","309.3299866","307.0100098","305.3699951","304.0599976","302.7600098","301.230011","300.4700012","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:45:09"
"37","1330","209.82","220.5599976","230.3899994","239.6699982","248.6900024","257.5899963","266.3599854","274.8800049","282.9500122","291.4100037","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:45:46"
"38","1365","245.53","243.0299988","242.5","243.7700043","246.8000031","251.5599976","258.0299988","266.0700073","275.4599915","286.8200073","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:46:25"
"39","1400","358.92","347.3299866","335.6400146","324.3800049","314.0700073","305.2399902","298.3900146","293.9299927","292.1600037","294.0299988","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:47:03"
"40","1435","540.17","520.8900146","499.269989","475.4400024","449.730011","422.7099915","395.1000061","367.7999878","341.7600098","318.6400146","0.02","0.02","0.02","0.02","0.01","0.01","0.01","0","0","0","2018-08-08 20:47:39"
"41","1470","332.36","351.2099915","365.7399902","375.2799988","379.3099976","377.5299988","370.0100098","357.1700134","339.8800049","320.0100098","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:48:14"
"42","1505","344.86","345.5","349.0400085","353.9899902","358.6400146","361.2000122","359.9500122","353.480011","340.8800049","322.5","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:48:53"
"43","1540","477.67","464.4599915","451.9500122","440.5700073","430.0599976","419.4400024","407.0400085","390.7399902","368.2399902","338.019989","0","0","0","0","0","0","0","0","0","0","2018-08-08 20:49:25"
