"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","60","885.54","892.539978","892.9799805","886.8699951","874.2000122","854.9799805","829.2000122","796.8699951","757.9799805","712.539978","0.4","0.379999995","0.360000014","0.330000013","0.300000012","0.25999999","0.219999999","0.170000002","0.119999997","0.059999999","2018-08-10 10:36:49"
"2","80","991.79","981.8699951","972.0300293","960.3099976","944.75","923.3800049","894.2399902","855.3400269","804.7399902","740.460022","0.5","0.479999989","0.469999999","0.439999998","0.419999987","0.379999995","0.330000013","0.270000011","0.189999998","0.100000001","2018-08-10 10:37:14"
"3","100","764.45","786.1900024","805.960022","823.210022","836.5700073","843.9199829","842.3200073","828.0800171","796.6799927","742.8599854","0.45","0.449999988","0.449999988","0.439999998","0.430000007","0.409999996","0.370000005","0.319999993","0.239999995","0.140000001","2018-08-10 10:37:32"
"4","120","850.39","843.9699707","841.5","842.2299805","844.8599854","847.1500244","845.5499878","834.7700195","807.4199829","753.6099854","0.75","0.720000029","0.689999998","0.649999976","0.620000005","0.579999983","0.519999981","0.449999988","0.340000004","0.200000003","2018-08-10 10:37:52"
"5","140","1090.23","1065.599976","1040.47998","1015.830017","992.0800171","968.6900024","943.4199829","911.4099731","863.9799805","787.2800293","0.55","0.560000002","0.569999993","0.579999983","0.579999983","0.560000002","0.529999971","0.479999989","0.379999995","0.230000004","2018-08-10 10:38:18"
"6","160","1088.67","1086.359985","1079.030029","1066.819946","1050.030029","1028.680054","1001.52002","964.5800171","908.9199829","817.4099731","0.35","0.370000005","0.389999986","0.409999996","0.439999998","0.449999988","0.460000008","0.439999998","0.379999995","0.239999995","2018-08-10 10:38:42"
"7","180","1038.28","1043.079956","1046.430054","1046.839966","1042.97998","1033.47998","1016.219971","986.6900024","934.789978","839.5","0.4","0.389999986","0.389999986","0.400000006","0.409999996","0.419999987","0.430000007","0.419999987","0.379999995","0.25999999","2018-08-10 10:39:06"
"8","200","994.14","999.0300293","1004.590027","1009.950012","1013.669983","1013.809998","1007.390015","988.9299927","946.6599731","854.960022","0.45","0.439999998","0.430000007","0.430000007","0.430000007","0.430000007","0.439999998","0.430000007","0.389999986","0.280000001","2018-08-10 10:39:30"
"9","220","816.01","834.3099976","853.7299805","874.1900024","895.0800171","914.9099731","930.8400269","937.0499878","920.5300293","851.0700073","0.35","0.349999994","0.360000014","0.370000005","0.379999995","0.389999986","0.400000006","0.400000006","0.379999995","0.280000001","2018-08-10 10:39:51"
"10","240","982.81","967.960022","956.9899902","950.2199707","947.710022","948.8599854","951.6300049","950.7800293","932.9899902","864.2399902","0.65","0.620000005","0.589999974","0.560000002","0.540000021","0.519999981","0.5","0.479999989","0.439999998","0.319999993","2018-08-10 10:40:14"
"11","260","1050.78","1042.48999","1032.02002","1020.609985","1009.549988","999.8200073","991.289978","980.7800293","956.539978","882.9000244","0.55","0.550000012","0.550000012","0.550000012","0.540000021","0.529999971","0.519999981","0.5","0.460000008","0.340000004","2018-08-10 10:40:37"
"12","280","783.2","809.1300049","832.960022","854.4199829","873.7399902","891.5100098","908.0499878","921.5","921.8800049","872.9299927","0.2","0.230000004","0.270000011","0.300000012","0.330000013","0.360000014","0.389999986","0.409999996","0.400000006","0.330000013","2018-08-10 10:40:58"
"13","300","675.39","688.7600098","706.9000244","729.0999756","754.7299805","783.4500122","814.9799805","847.6699829","872.5800171","853.1699829","0.95","0.870000005","0.810000002","0.75","0.699999988","0.649999976","0.610000014","0.569999993","0.50999999","0.389999986","2018-08-10 10:41:12"
"14","320","1148.43","1102.469971","1060.130005","1022.630005","990.9500122","965.9400024","948.3599854","937.9000244","927.75","882.7000122","0.2","0.25999999","0.319999993","0.360000014","0.400000006","0.419999987","0.439999998","0.460000008","0.449999988","0.370000005","2018-08-10 10:41:40"
"15","340","892.96","913.9099731","926.4000244","931.8599854","932.1599731","929.4500122","926.2000122","924.4199829","920.789978","883.7199707","0.35","0.340000004","0.340000004","0.349999994","0.370000005","0.379999995","0.400000006","0.419999987","0.430000007","0.370000005","2018-08-10 10:42:01"
"16","360","1073.04","1057.130005","1043.709961","1030.689941","1016.690002","1001.25","984.9400024","969","951.2399902","902.6599731","0.3","0.300000012","0.300000012","0.310000002","0.319999993","0.340000004","0.360000014","0.379999995","0.400000006","0.360000014","2018-08-10 10:42:27"
"17","380","675.78","713.9099731","749.3599854","782.25","812.1400146","838.5100098","861.2700195","881.039978","896.1500244","879.9699707","0.45","0.430000007","0.419999987","0.400000006","0.400000006","0.389999986","0.389999986","0.400000006","0.409999996","0.370000005","2018-08-10 10:42:41"
"18","400","785.15","778.0300293","777.9899902","784.2800293","795.9500122","811.8300171","830.8200073","852.2700195","873.9500122","870.4899902","0.6","0.579999983","0.560000002","0.540000021","0.519999981","0.49000001","0.469999999","0.460000008","0.449999988","0.389999986","2018-08-10 10:43:01"
