"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","40","232.03","218.5099945","205","191.4799957","177.9600067","164.4499969","150.9299927","137.4199982","123.9000015","110.3899994","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:17:06"
"2","60","323.43","312.9400024","299.75","283.8500061","265.25","243.9400024","219.9299927","193.2200012","163.8099976","131.6900024","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:17:26"
"3","80","124.6","143.4400024","159.6300049","172.3800049","180.8600006","184.2700043","181.8000031","172.6399994","155.9700012","130.9799957","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:17:49"
"4","100","163.67","161.6399994","162.8600006","166.2799988","170.5399933","173.9700012","174.5500031","169.9499969","157.5099945","134.25","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:18:07"
"5","120","58.59","68.88999939","79.44000244","90.90000153","103.3700027","116.2799988","128.1600037","136.5399933","137.7200012","126.6800003","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:18:25"
"6","140","100","96.87999725","95.87999725","97.26999664","101.3499985","108.1399994","116.9000015","125.5800018","130.1799927","124.0199966","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:18:39"
"7","160","230.07","216.75","203.2400055","190.2299957","178.5800018","169.1100006","162.1699982","156.9199982","150.1600037","134.6199951","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:19:00"
"8","180","85.54","98.66000366","109.0800018","116.9499969","122.7600021","127.3199997","131.5200043","135.5099945","137.2299957","129.7100067","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:19:21"
"9","200","188.28","179.3099976","172.4400024","166.8800049","162.0700073","157.8000031","154.2200012","151.3399963","147.4400024","135.5700073","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:19:43"
"10","220","316.01","302.3399963","287.2999878","271.269989","254.4299927","236.9100037","218.9400024","200.7400055","181.1600037","153.6100006","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:20:02"
"11","240","86.71","108.2799988","126.8300018","142.0800018","153.8000031","161.8099976","166.0500031","166.5299988","162.2700043","146.9199982","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:20:22"
"12","260","141.01","137.7400055","138.1699982","141.3300018","146.1300049","151.4100037","156.0299988","158.8800049","158.0200043","146.3300018","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:20:43"
"13","280","148.82","147.7100067","146.6900024","146.5800018","147.7400055","150.1199951","153.1499939","155.8600006","156.1799927","146.5800018","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:21:05"
"14","300","177.73","174.7299957","171.5200043","168.3800049","165.7400055","163.9199982","162.9799957","162.4199982","160.4900055","149.6999969","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:21:28"
"15","320","310.15","296.6099854","282.4299927","267.6199951","252.3800049","237.0399933","221.8500061","206.7400055","190.4199982","165.7400055","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:21:56"
