"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","50","890.31","882.75","875.1799927","867.6199951","860.0599976","852.5","844.9299927","837.3699951","829.8099976","822.25","0.08","0.090000004","0.100000001","0.109999999","0.119999997","0.140000001","0.150000006","0.159999996","0.170000002","0.180000007","2018-08-09 18:08:41"
"2","75","900","898.2700195","895.0300293","890.2800293","884.0200195","876.25","866.960022","856.1599731","843.8499756","830.0200195","0.44","0.400000006","0.370000005","0.340000004","0.310000002","0.289999992","0.25999999","0.239999995","0.219999999","0.209999993","2018-08-09 18:09:09"
"3","100","868.12","871.1400146","873.5","874.7700195","874.4799805","872.1799927","867.4199829","859.75","848.7000122","833.8300171","0.64","0.610000014","0.579999983","0.550000012","0.50999999","0.460000008","0.409999996","0.360000014","0.310000002","0.25","2018-08-09 18:09:35"
"4","125","733.43","747.2000122","761.4500122","775.8300171","789.8499756","802.8099976","813.8300171","821.8499756","825.6500244","823.789978","0.28","0.310000002","0.340000004","0.360000014","0.370000005","0.370000005","0.360000014","0.330000013","0.300000012","0.25","2018-08-09 18:09:58"
"5","150","774.06","771.3699951","771.539978","774.5900269","780.3800049","788.4299927","797.9199829","807.5100098","815.3300171","818.8200073","0.52","0.49000001","0.479999989","0.469999999","0.460000008","0.439999998","0.419999987","0.389999986","0.340000004","0.280000001","2018-08-09 18:10:22"
"6","175","850.31","842.4099731","834.5499878","827.5900269","822.3300171","819.3699951","818.8699951","820.3499756","822.3200073","821.9699707","0.44","0.439999998","0.439999998","0.439999998","0.439999998","0.439999998","0.430000007","0.400000006","0.360000014","0.300000012","2018-08-09 18:10:47"
"7","200","896.25","890.8599854","883.9099731","875.6500244","866.6799927","857.8099976","849.8200073","843.1199951","837.1099854","829.3900146","0.8","0.75999999","0.720000029","0.689999998","0.649999976","0.620000005","0.569999993","0.519999981","0.449999988","0.349999994","2018-08-09 18:11:12"
"8","225","783.12","793.8900146","803.2800293","810.8800049","816.539978","820.460022","823.1400146","825.1199951","826.3099976","824.7700195","0.4","0.430000007","0.460000008","0.479999989","0.5","0.50999999","0.5","0.479999989","0.439999998","0.349999994","2018-08-09 18:11:38"
"9","250","1050.62","1024.949951","1001.150024","978.7000122","956.9899902","935.539978","914.1300049","892.7700195","871.1699829","847.3499756","0.36","0.360000014","0.379999995","0.389999986","0.409999996","0.430000007","0.439999998","0.439999998","0.419999987","0.349999994","2018-08-09 18:12:08"
"10","275","722.18","752.460022","777.9799805","799.1400146","816.1099854","828.8599854","837.3499756","841.5900269","841.3699951","834.8300171","0.48","0.460000008","0.460000008","0.449999988","0.449999988","0.449999988","0.460000008","0.449999988","0.430000007","0.360000014","2018-08-09 18:12:31"
