"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","75","426.56","429.4599915","428.2799988","422.8399963","412.0599976","393.9700012","365.7200012","323.5400085","262.7900085","177.9199982","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:03:06"
"2","90","576.56","561.8499756","546.9000244","530.4400024","510.7600098","485.269989","450.0599976","399.4500122","325.5400085","217.7799988","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:03:22"
"3","105","287.5","314.9299927","339.3800049","360.3800049","376.7999878","386.3800049","385.0299988","365.8599854","317.9299927","224.7599945","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:03:44"
"4","120","364.06","359.1400146","359.1199951","362.9500122","369.1499939","375.2200012","376.6400146","365.3200073","327.1600037","238.6900024","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:03:59"
"5","135","122.39","146.0700073","169.7400055","194.5599976","221.1000061","248.8000031","274.9400024","292.4400024","286.2099915","227.0599976","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:04:16"
"6","150","308.85","292.5700073","281.0299988","274.5599976","273.75","278.8299866","288.5","297.3599854","290.730011","235.2400055","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:04:34"
"7","165","353.64","347.5299988","339.1199951","329.9200134","321.6799927","316.230011","314.5599976","314.25","303.3200073","247.0800018","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:04:49"
"8","180","242.18","252.7200012","261.5700073","268.5","273.980011","279.2099915","285.6099854","292.6300049","291.0899963","246.5899963","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:05:05"
"9","195","365.1","353.8599854","344.3900146","336.1199951","328.6499939","322.1499939","317.3999939","314.3699951","305.8900146","258.4400024","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:05:20"
"10","210","195.83","211.6300049","225.5399933","237.9199982","248.9600067","258.9899902","268.769989","278.8099976","283.8800049","252.1799927","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:05:31"
"11","225","667.7","622.0999756","579.2700195","538.7700195","500.2099915","463.3500061","428.3500061","395.480011","360.6400146","293.730011","0","0","0","0","0","0","0","0","0","0","2018-08-08 19:05:45"
