"id","num_packets","btp","EWMA_btp_09","EWMA_btp_08","EWMA_btp_07","EWMA_btp_06","EWMA_btp_05","EWMA_btp_04","EWMA_btp_03","EWMA_btp_02","EWMA_btp_01","ppl","EWMA_ppl_09","EWMA_ppl_08","EWMA_ppl_07","EWMA_ppl_06","EWMA_ppl_05","EWMA_ppl_04","EWMA_ppl_03","EWMA_ppl_02","EWMA_ppl_01","date"
"1","60","491.66","464.0799866","436.5100098","408.9299927","381.3500061","353.769989","326.1900024","298.6099854","271.0400085","243.4600067","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:43:31"
"2","90","265.36","285.230011","299.5899963","308.4299927","311.7600098","309.5700073","301.8599854","288.6400146","269.8999939","245.6499939","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:44:01"
"3","120","93.48","112.6600037","134.7100067","157.9700012","180.7899933","201.5200043","218.5099945","230.0899963","234.6199951","230.4299927","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:44:37"
"4","150","165.62","160.3200073","159.4400024","163.3200073","171.6900024","183.5700073","197.3500061","210.75","220.8200073","223.9499969","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:45:11"
"5","180","59.89","69.93000031","79.80000305","90.91999817","104.6100006","121.7300034","142.3699951","165.4900055","188.6300049","207.5399933","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:45:40"
"6","210","772.39","702.1500244","633.8699951","567.9500122","505.2799988","447.0599976","394.3800049","347.5599976","305.3800049","264.0299988","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:46:17"
"7","240","209.11","258.4100037","294.0599976","316.7600098","327.5799866","328.0899963","320.269989","306.0299988","286.1300049","258.5400085","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:46:50"
"8","270","193.48","199.9799957","213.6000061","230.4700012","247.1199951","260.7799988","269.5599976","272.2600098","267.6000061","252.0299988","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:47:24"
"9","300","252.34","247.1000061","244.5899963","245.7799988","250.25","256.5599976","262.6700134","266.2900085","264.5499878","252.0599976","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:47:55"
"10","330","361.71","350.25","338.2900085","326.9299927","317.1300049","309.1400146","302.2900085","294.9100037","283.980011","263.0299988","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:48:26"
"11","360","135.93","157.3600006","176.3999939","193.2299957","208.4100037","222.5399933","235.75","247.2200012","254.3699951","250.3200073","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:48:59"
"12","390","279.16","266.980011","258.6099854","253.3800049","250.8600006","250.8500061","253.1100006","256.7999878","259.3299866","253.1999969","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:49:31"
"13","420","157.29","168.2599945","177.5500031","186.1199951","194.7200012","204.0700073","214.7799988","226.9499969","238.9199982","243.6100006","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:49:58"
"14","450","177.34","176.4299927","177.3800049","179.9700012","184.2899933","190.6999969","199.8000031","212.0700073","226.6000061","236.9799957","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:50:33"
"15","480","134.63","138.8099976","143.1799927","148.2299957","154.4900055","162.6699982","173.7299957","188.8300018","208.2100067","226.75","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:51:01"
"16","510","263.02","250.6000061","239.0500031","228.5800018","219.6100006","212.8399963","209.4499969","211.0899963","219.1699982","230.3800049","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:51:36"
"17","540","114.32","127.9499969","139.2599945","148.6000061","156.4299927","163.5800018","171.3999939","182.0599976","198.1999969","218.7700043","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:52:07"
"18","570","255.72","242.9499969","232.4299927","223.5899963","216.0099945","209.6499939","205.1300049","204.1600037","209.7100067","222.4600067","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:52:42"
"19","600","199.21","203.5899963","205.8600006","206.5299988","205.9299927","204.4299927","202.7599945","202.6699982","207.6100006","220.1399994","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:53:12"
"20","630","220.31","218.6399994","217.4199982","216.1699982","214.5599976","212.3699951","209.7799988","207.9600067","210.1499939","220.1600037","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:53:40"
"21","660","182.29","185.9199982","189.3099976","192.4499969","195.1900024","197.3300018","198.7799988","200.2599945","204.5700073","216.3699951","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:54:10"
"22","690","298.95","287.6499939","277.0299988","267","257.4500122","248.1399994","238.8500061","229.8699951","223.4499969","224.6300049","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:54:40"
"23","720","513.54","490.9500122","466.230011","439.5799866","411.1000061","380.8399963","348.730011","314.9700012","281.4700012","253.5200043","0.06","0.059999999","0.050000001","0.039999999","0.039999999","0.029999999","0.02","0.02","0.01","0","2018-08-08 15:55:14"
"24","750","266.92","289.3200073","306.7799988","318.7200012","324.5899963","323.8800049","316","300.5599976","278.5599976","254.8600006","0.06","0.059999999","0.059999999","0.059999999","0.050000001","0.050000001","0.039999999","0.029999999","0.02","0.01","2018-08-08 15:55:41"
"25","780","62.76","85.41000366","111.5599976","139.5399933","167.4900055","193.3200073","214.6999969","229.2200012","235.3999939","235.6499939","0","0","0.01","0.01","0.02","0.02","0.02","0.02","0.01","0.01","2018-08-08 15:56:13"
"26","810","219.27","205.8800049","197.7200012","195.3500061","198.5599976","206.2899933","216.5299988","226.2299957","232.1699982","234.0099945","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","2018-08-08 15:56:42"
"27","840","100.26","110.8199997","119.75","128.7799988","139.5800018","153.2700043","170.0200043","188.4400024","205.7899933","220.6300049","0","0","0","0","0","0","0","0.01","0.01","0","2018-08-08 15:57:16"
"28","870","136.19","133.6600037","132.8999939","133.9700012","137.5500031","144.7299957","156.4900055","172.7599945","191.8699951","212.1900024","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:57:48"
"29","900","240.1","229.4499969","218.6600037","208.2599945","199.0800018","192.4199982","189.9299927","192.9600067","201.5200043","214.9799957","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:58:18"
"30","930","66.4","82.70999908","96.84999847","108.9599991","119.4700012","129.4100037","140.5200043","155","174.4900055","200.1199951","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:58:54"
"31","960","150.52","143.7299957","139.7799988","138.0500031","138.1000061","139.9600067","144.5200043","153.6499939","169.6999969","195.1600037","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:59:25"
"32","990","122.65","124.7600021","126.0800018","127.2699966","128.8300018","131.3099976","135.7700043","144.3500061","160.2899933","187.9100037","0","0","0","0","0","0","0","0","0","0","2018-08-08 15:59:52"
"33","1020","259.63","246.1399994","232.9199982","219.9199982","207.3099976","195.4700012","185.3200073","178.9400024","180.1600037","195.0800018","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:00:27"
"34","1050","191.4","196.8800049","199.6999969","199.9600067","197.7599945","193.4299927","187.75","182.6799927","182.4100037","194.7200012","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:01:04"
"35","1080","117.44","125.3899994","133.8999939","142.1999969","149.5700073","155.4400024","159.6300049","163.1100006","169.4100037","186.9900055","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:01:38"
"36","1110","325","305.0299988","286.7799988","270.1600037","254.8300018","240.2200012","225.7700043","211.6699982","200.5299988","200.7899933","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:02:10"
"37","1140","196.09","206.9799957","214.2299957","218.3099976","219.5800018","218.1499939","213.8999939","207","199.6399994","200.3200073","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:02:45"
"38","1170","130.46","138.1199951","147.2200012","156.8200073","166.1100006","174.3099976","180.5299988","184.0399933","185.8099976","193.3300018","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:03:19"
"39","1200","117.44","119.5100021","123.4000015","129.2599945","136.9100037","145.8800049","155.2899933","164.0599976","172.1300049","185.7400055","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:03:47"
"40","1230","222.91","212.5700073","203.0099945","194.8099976","188.5099945","184.3899994","182.3399963","181.7100067","182.2899933","189.4600067","0.03","0.029999999","0.02","0.02","0.02","0.01","0.01","0.01","0","0","2018-08-08 16:04:21"
"41","1260","67.18","81.72000122","94.34999847","105.4700012","115.7099991","125.7900009","136.2799988","147.3600006","159.2700043","177.2299957","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:04:51"
"42","1290","280.46","260.5899963","243.2400055","227.9700012","214.5599976","203.1300049","193.9499969","187.2899933","183.5099945","187.5599976","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:05:26"
"43","1320","104.42","120.0400009","132.1900024","141.4900055","148.4799957","153.7700043","158.1399994","162.4299927","167.6900024","179.2400055","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:06:01"
"44","1350","289.84","272.8599854","258.3099976","245.3300018","233.2899933","221.8099976","210.8200073","200.6499939","192.1199951","190.3000031","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:06:32"
"45","1380","369.79","360.0899963","347.4899902","332.4500122","315.1900024","295.7999878","274.4100037","251.3899994","227.6499939","208.25","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:07:02"
"46","1410","283.59","291.2399902","296.3699951","298.25","296.230011","289.6900024","278.0799866","261.0499878","238.8399963","215.7799988","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:07:32"
"47","1440","113.54","131.3099976","150.1000061","168.9499969","186.6100006","201.6100006","212.2599945","216.8000031","213.7799988","205.5599976","0","0","0","0","0","0","0","0","0","0","2018-08-08 16:08:01"
