"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"1","1243642","0.18","3238","8962120","309391103","683513","7764921","0","6979331","2168","96136","0","3789","0","3789","2018-09-03 15:06:07"
"2","1244026","0.18","3239","8964302","309487223","683513","7768472","0","6982884","2181","96120","0","3551","0","3553","2018-09-03 15:06:10"
"3","1244410","0.18","3240","8967753","309582073","683865","7772025","0","6985969","3450","94850","352","3553","0","3085","2018-09-03 15:06:13"
"4","1244794","0.18","3241","8969949","309678185","683865","7775418","0","6989397","2193","96112","0","3393","0","3428","2018-09-03 15:06:16"
"5","1245178","0.18","3242","8972169","309774269","683865","7778826","0","6992722","2220","96084","0","3407","0","3325","2018-09-03 15:06:19"
"6","1245562","0.18","3243","8974206","309870482","683865","7782707","0","6996740","2037","96213","0","3880","0","4018","2018-09-03 15:06:22"
"7","1245946","0.18","3244","8976355","309966691","683865","7786183","0","7000162","2149","96209","0","3475","0","3422","2018-09-03 15:06:25"
"8","1246330","0.18","3245","8978549","310062800","683865","7789415","0","7003394","2194","96109","0","3231","0","3232","2018-09-03 15:06:28"
"9","1246714","0.18","3246","8980792","310158858","683865","7792660","0","7006643","2242","96058","0","3245","0","3249","2018-09-03 15:06:31"
"10","1247098","0.18","3247","8982867","310255091","683865","7796731","0","7010709","2072","96233","0","4068","0","4066","2018-09-03 15:06:34"
"11","1247482","0.18","3248","8985126","310351135","683865","7799899","0","7013878","2258","96044","0","3168","0","3169","2018-09-03 15:06:37"
"12","1247866","0.18","3249","8987264","310447301","683865","7803594","0","7017573","2137","96166","0","3695","0","3695","2018-09-03 15:06:40"
"13","1248250","0.18","3250","8989469","310543368","683865","7806830","0","7020802","2204","96067","0","3236","0","3229","2018-09-03 15:06:43"
"14","1248635","0.18","3251","8992786","310638387","684217","7810376","0","7023950","3316","95019","352","3546","0","3148","2018-09-03 15:06:46"
"15","1249018","0.18","3252","8994825","310734600","684217","7814087","0","7027684","2039","96213","0","3710","0","3734","2018-09-03 15:06:49"
"16","1249402","0.18","3253","8996923","310830857","684217","7817839","0","7031414","2098","96257","0","3751","0","3730","2018-09-03 15:06:52"
"17","1249786","0.18","3254","8999083","310927003","684217","7821519","0","7035062","2159","96146","0","3679","0","3648","2018-09-03 15:06:55"
"18","1250170","0.18","3255","9001167","311023168","684217","7824978","0","7038599","2083","96165","0","3459","0","3537","2018-09-03 15:06:58"
"19","1250554","0.18","3256","9004430","311118265","684569","7829335","0","7042444","3263","95097","352","4357","0","3845","2018-09-03 15:07:01"
"20","1250938","0.18","3257","9007024","311214043","684657","7832785","0","7045834","2593","95778","88","3450","0","3390","2018-09-03 15:07:04"
"21","1251322","0.18","3258","9009279","311310023","684657","7835753","0","7048756","2255","95980","0","2968","0","2922","2018-09-03 15:07:07"
"22","1251706","0.18","3259","9011456","311406148","684657","7839028","0","7052108","2177","96125","0","3274","0","3352","2018-09-03 15:07:10"
"23","1252091","0.18","3260","9013611","311502299","684657","7842617","0","7055620","2155","96151","0","3589","0","3512","2018-09-03 15:07:13"
"24","1252474","0.18","3261","9016836","311597323","685041","7846508","0","7059218","3225","95024","384","3890","0","3598","2018-09-03 15:07:16"
"25","1252858","0.18","3262","9019108","311693356","685129","7850339","0","7062919","2272","96033","88","3831","0","3701","2018-09-03 15:07:19"
"26","1253242","0.18","3263","9021349","311789470","685129","7854051","0","7066654","2240","96114","0","3711","0","3735","2018-09-03 15:07:22"
"27","1253627","0.18","3264","9024653","311884469","685480","7857711","0","7069872","3303","94999","351","3660","0","3218","2018-09-03 15:07:25"
