"id","det_int","det_int_redundant","date"
"1","10","10","2018-08-01 11:15:20"
"2","10","10","2018-08-01 11:15:27"
"3","10","10","2018-08-01 11:15:39"
"4","10","10","2018-08-01 11:15:47"
"5","10","10","2018-08-01 11:16:00"
"6","10","10","2018-08-01 11:16:11"
"7","10","10","2018-08-01 11:16:22"
"8","10","10","2018-08-01 11:16:31"
"9","10","10","2018-08-01 11:16:45"
"10","10","10","2018-08-01 11:16:54"
"11","10","10","2018-08-01 11:17:05"
"12","10","10","2018-08-01 11:17:17"
"13","10","10","2018-08-01 11:17:29"
"14","10","10","2018-08-01 11:17:36"
"15","20","20","2018-08-01 11:17:45"
"16","10","10","2018-08-01 11:17:51"
"17","10","10","2018-08-01 11:18:01"
"18","10","10","2018-08-01 11:18:10"
"19","10","10","2018-08-01 11:18:23"
"20","10","10","2018-08-01 11:18:30"
"21","10","10","2018-08-01 11:18:39"
"22","10","10","2018-08-01 11:18:50"
"23","10","10","2018-08-01 11:19:02"
"24","10","10","2018-08-01 11:19:13"
"25","10","10","2018-08-01 11:19:25"
"26","10","10","2018-08-01 11:19:37"
"27","10","10","2018-08-01 11:19:45"
"28","0","0","2018-08-01 11:19:54"
"29","0","0","2018-08-01 11:20:03"
"30","10","10","2018-08-01 11:20:13"
"31","10","10","2018-08-01 11:20:23"
"32","0","0","2018-08-01 11:20:34"
"33","10","10","2018-08-01 11:20:44"
"34","10","10","2018-08-01 11:20:58"
"35","10","10","2018-08-01 11:21:11"
"36","0","0","2018-08-01 11:21:23"
"37","0","0","2018-08-01 11:21:33"
"38","10","10","2018-08-01 11:21:41"
"39","10","10","2018-08-01 11:21:50"
"40","10","10","2018-08-01 11:21:58"
"41","10","10","2018-08-01 11:22:06"
"42","10","10","2018-08-01 11:22:18"
"43","10","10","2018-08-01 11:22:29"
"44","0","0","2018-08-01 11:22:42"
"45","10","10","2018-08-01 11:22:51"
"46","10","10","2018-08-01 11:23:03"
"47","0","0","2018-08-01 11:23:13"
"48","0","0","2018-08-01 11:23:23"
"49","10","10","2018-08-01 11:23:34"
"50","10","10","2018-08-01 11:23:47"
"51","0","0","2018-08-01 11:23:55"
"52","0","0","2018-08-01 11:24:06"
"53","0","0","2018-08-01 11:24:17"
"54","0","0","2018-08-01 11:24:28"
"55","10","10","2018-08-01 11:24:40"
"56","10","10","2018-08-01 11:24:51"
"57","10","10","2018-08-01 11:25:00"
"58","10","10","2018-08-01 11:25:09"
"59","10","10","2018-08-01 11:25:18"
"60","10","10","2018-08-01 11:25:26"
"61","10","10","2018-08-01 11:25:36"
"62","10","10","2018-08-01 11:25:46"
"63","10","10","2018-08-01 11:25:56"
"64","10","10","2018-08-01 11:26:07"
"65","10","10","2018-08-01 11:26:17"
"66","10","10","2018-08-01 11:26:27"
"67","10","10","2018-08-01 11:26:38"
"68","10","10","2018-08-01 11:26:48"
"69","10","10","2018-08-01 11:26:55"
"70","10","10","2018-08-01 11:27:07"
"71","10","10","2018-08-01 11:27:18"
"72","10","10","2018-08-01 11:27:29"
"73","10","10","2018-08-01 11:27:39"
"74","10","10","2018-08-01 11:27:48"
"75","10","10","2018-08-01 11:28:01"
"76","10","10","2018-08-01 11:28:13"
"77","20","20","2018-08-01 11:28:24"
"78","20","20","2018-08-01 11:28:34"
"79","10","10","2018-08-01 11:28:46"
"80","10","10","2018-08-01 11:28:59"
"81","10","10","2018-08-01 11:29:12"
"82","10","10","2018-08-01 11:29:24"
"83","10","10","2018-08-01 11:29:37"
"84","10","10","2018-08-01 11:29:48"
"85","10","10","2018-08-01 11:29:58"
"86","10","10","2018-08-01 11:30:09"
"87","10","10","2018-08-01 11:30:20"
"88","10","10","2018-08-01 11:30:32"
