"id","det_int","det_int_redundant","date"
"1","70","70","2018-08-03 12:27:21"
"2","70","70","2018-08-03 12:27:31"
"3","80","80","2018-08-03 12:27:41"
"4","80","80","2018-08-03 12:27:51"
"5","80","80","2018-08-03 12:28:03"
"6","90","90","2018-08-03 12:28:13"
"7","90","90","2018-08-03 12:28:23"
"8","90","90","2018-08-03 12:28:32"
"9","80","80","2018-08-03 12:28:42"
"10","80","80","2018-08-03 12:28:52"
"11","80","80","2018-08-03 12:29:03"
"12","90","90","2018-08-03 12:29:15"
"13","70","70","2018-08-03 12:29:26"
"14","70","70","2018-08-03 12:29:37"
"15","80","80","2018-08-03 12:29:47"
"16","90","90","2018-08-03 12:29:53"
"17","70","70","2018-08-03 12:30:04"
"18","80","80","2018-08-03 12:30:12"
"19","80","80","2018-08-03 12:30:26"
"20","90","90","2018-08-03 12:30:34"
"21","80","80","2018-08-03 12:30:45"
"22","80","80","2018-08-03 12:30:58"
"23","70","70","2018-08-03 12:31:03"
"24","80","80","2018-08-03 12:31:14"
"25","90","90","2018-08-03 12:31:27"
"26","80","80","2018-08-03 12:31:38"
"27","70","70","2018-08-03 12:31:49"
"28","70","70","2018-08-03 12:32:01"
"29","70","70","2018-08-03 12:32:11"
"30","90","90","2018-08-03 12:32:24"
"31","70","70","2018-08-03 12:32:35"
"32","80","80","2018-08-03 12:32:43"
"33","70","70","2018-08-03 12:32:52"
"34","80","80","2018-08-03 12:33:04"
"35","90","90","2018-08-03 12:33:13"
"36","80","80","2018-08-03 12:33:24"
"37","90","90","2018-08-03 12:33:33"
"38","70","70","2018-08-03 12:33:42"
"39","80","80","2018-08-03 12:33:54"
"40","80","80","2018-08-03 12:34:05"
"41","80","80","2018-08-03 12:34:15"
"42","80","80","2018-08-03 12:34:28"
"43","80","80","2018-08-03 12:34:39"
"44","70","70","2018-08-03 12:34:50"
"45","80","80","2018-08-03 12:35:03"
"46","80","80","2018-08-03 12:35:16"
"47","80","80","2018-08-03 12:35:28"
"48","70","70","2018-08-03 12:35:34"
"49","80","80","2018-08-03 12:35:45"
"50","90","90","2018-08-03 12:35:52"
"51","90","90","2018-08-03 12:36:04"
"52","80","80","2018-08-03 12:36:10"
"53","90","90","2018-08-03 12:36:20"
"54","80","80","2018-08-03 12:36:33"
"55","70","70","2018-08-03 12:36:44"
"56","70","70","2018-08-03 12:36:56"
"57","80","80","2018-08-03 12:37:08"
