"id","det_int","det_int_redundant","date"
"1","0","0","2018-08-01 10:13:27"
"2","0","0","2018-08-01 10:13:38"
"3","0","0","2018-08-01 10:13:47"
"4","0","0","2018-08-01 10:13:56"
"5","0","0","2018-08-01 10:14:06"
"6","10","10","2018-08-01 10:14:17"
"7","0","0","2018-08-01 10:14:27"
"8","0","0","2018-08-01 10:14:36"
"9","0","0","2018-08-01 10:14:50"
"10","0","0","2018-08-01 10:15:02"
"11","0","0","2018-08-01 10:15:14"
"12","0","0","2018-08-01 10:15:24"
"13","0","0","2018-08-01 10:15:32"
"14","0","0","2018-08-01 10:15:40"
"15","0","0","2018-08-01 10:15:50"
"16","0","0","2018-08-01 10:16:02"
"17","0","0","2018-08-01 10:16:13"
"18","0","0","2018-08-01 10:16:23"
"19","0","0","2018-08-01 10:16:34"
"20","0","0","2018-08-01 10:16:42"
"21","0","0","2018-08-01 10:16:57"
"22","0","0","2018-08-01 10:17:08"
"23","0","0","2018-08-01 10:17:21"
"24","0","0","2018-08-01 10:17:32"
"25","0","0","2018-08-01 10:17:41"
"26","0","0","2018-08-01 10:17:51"
"27","0","0","2018-08-01 10:18:01"
"28","0","0","2018-08-01 10:18:11"
"29","0","0","2018-08-01 10:18:22"
"30","0","0","2018-08-01 10:18:32"
"31","10","10","2018-08-01 10:18:46"
"32","0","0","2018-08-01 10:18:52"
"33","0","0","2018-08-01 10:19:02"
"34","0","0","2018-08-01 10:19:13"
"35","0","0","2018-08-01 10:19:24"
"36","0","0","2018-08-01 10:19:34"
"37","0","0","2018-08-01 10:19:44"
"38","0","0","2018-08-01 10:19:56"
"39","0","0","2018-08-01 10:20:07"
"40","0","0","2018-08-01 10:20:20"
"41","0","0","2018-08-01 10:20:31"
"42","0","0","2018-08-01 10:20:43"
"43","0","0","2018-08-01 10:20:57"
"44","0","0","2018-08-01 10:21:05"
"45","0","0","2018-08-01 10:21:15"
"46","0","0","2018-08-01 10:21:26"
"47","0","0","2018-08-01 10:21:35"
"48","0","0","2018-08-01 10:21:45"
"49","0","0","2018-08-01 10:21:55"
"50","0","0","2018-08-01 10:22:04"
"51","0","0","2018-08-01 10:22:16"
"52","0","0","2018-08-01 10:22:25"
"53","0","0","2018-08-01 10:22:35"
"54","0","0","2018-08-01 10:22:47"
"55","0","0","2018-08-01 10:22:58"
"56","10","10","2018-08-01 10:23:08"
"57","0","0","2018-08-01 10:23:17"
"58","0","0","2018-08-01 10:23:27"
"59","0","0","2018-08-01 10:23:36"
"60","0","0","2018-08-01 10:23:45"
"61","0","0","2018-08-01 10:23:57"
"62","0","0","2018-08-01 10:24:04"
"63","10","10","2018-08-01 10:24:16"
"64","0","0","2018-08-01 10:24:27"
"65","0","0","2018-08-01 10:24:37"
"66","0","0","2018-08-01 10:24:50"
"67","0","0","2018-08-01 10:25:02"
"68","0","0","2018-08-01 10:25:11"
"69","0","0","2018-08-01 10:25:21"
"70","0","0","2018-08-01 10:25:31"
"71","0","0","2018-08-01 10:25:44"
"72","0","0","2018-08-01 10:25:51"
"73","10","10","2018-08-01 10:26:02"
"74","0","0","2018-08-01 10:26:13"
"75","10","10","2018-08-01 10:26:20"
"76","0","0","2018-08-01 10:26:32"
"77","0","0","2018-08-01 10:26:43"
"78","0","0","2018-08-01 10:26:53"
"79","0","0","2018-08-01 10:27:04"
"80","0","0","2018-08-01 10:27:12"
"81","10","10","2018-08-01 10:27:21"
"82","0","0","2018-08-01 10:27:33"
"83","0","0","2018-08-01 10:27:40"
"84","0","0","2018-08-01 10:27:52"
"85","0","0","2018-08-01 10:28:03"
"86","0","0","2018-08-01 10:28:11"
"87","0","0","2018-08-01 10:28:21"
"88","0","0","2018-08-01 10:28:32"
"89","0","0","2018-08-01 10:28:44"
"90","0","0","2018-08-01 10:28:56"
"91","0","0","2018-08-01 10:29:07"
"92","10","10","2018-08-01 10:29:16"
"93","20","20","2018-08-01 10:29:26"
"94","20","20","2018-08-01 10:29:36"
"95","10","10","2018-08-01 10:29:45"
"96","0","0","2018-08-01 10:29:54"
"97","10","10","2018-08-01 10:30:07"
"98","0","0","2018-08-01 10:30:20"
"99","0","0","2018-08-01 10:30:31"
"100","0","0","2018-08-01 10:30:40"
"101","0","0","2018-08-01 10:30:50"
"102","0","0","2018-08-01 10:31:01"
"103","0","0","2018-08-01 10:31:13"
"104","0","0","2018-08-01 10:31:24"
"105","0","0","2018-08-01 10:31:36"
"106","0","0","2018-08-01 10:31:44"
"107","0","0","2018-08-01 10:31:55"
"108","0","0","2018-08-01 10:32:04"
"109","0","0","2018-08-01 10:32:12"
"110","0","0","2018-08-01 10:32:18"
"111","10","10","2018-08-01 10:32:24"
"112","0","0","2018-08-01 10:32:33"
"113","0","0","2018-08-01 10:32:44"
"114","0","0","2018-08-01 10:32:56"
"115","0","0","2018-08-01 10:33:04"
"116","0","0","2018-08-01 10:33:13"
