"id","det_int","det_int_redundant","date"
"1","60","60","2018-08-02 17:10:34"
"2","70","70","2018-08-02 17:10:42"
"3","70","70","2018-08-02 17:10:52"
"4","50","50","2018-08-02 17:11:02"
"5","60","60","2018-08-02 17:11:12"
"6","60","60","2018-08-02 17:11:23"
"7","50","50","2018-08-02 17:11:34"
"8","50","50","2018-08-02 17:11:43"
"9","60","60","2018-08-02 17:11:50"
"10","70","70","2018-08-02 17:12:00"
"11","70","70","2018-08-02 17:12:12"
"12","70","70","2018-08-02 17:12:21"
"13","70","70","2018-08-02 17:12:33"
"14","60","60","2018-08-02 17:12:43"
"15","70","70","2018-08-02 17:12:58"
"16","70","70","2018-08-02 17:13:06"
"17","70","70","2018-08-02 17:13:16"
"18","50","50","2018-08-02 17:13:31"
"19","60","60","2018-08-02 17:13:44"
"20","40","40","2018-08-02 17:13:53"
"21","60","60","2018-08-02 17:13:59"
"22","60","60","2018-08-02 17:14:09"
"23","70","70","2018-08-02 17:14:22"
"24","60","60","2018-08-02 17:14:32"
"25","50","50","2018-08-02 17:14:39"
"26","60","60","2018-08-02 17:14:50"
"27","60","60","2018-08-02 17:14:58"
"28","70","70","2018-08-02 17:15:08"
"29","60","60","2018-08-02 17:15:21"
"30","60","60","2018-08-02 17:15:29"
"31","0","0","2018-08-02 17:15:44"
"32","60","60","2018-08-02 17:15:54"
"33","60","60","2018-08-02 17:16:06"
"34","60","60","2018-08-02 17:16:15"
"35","70","70","2018-08-02 17:16:25"
"36","60","60","2018-08-02 17:16:37"
"37","60","60","2018-08-02 17:16:45"
"38","50","50","2018-08-02 17:16:57"
"39","60","60","2018-08-02 17:17:09"
"40","50","50","2018-08-02 17:17:18"
"41","60","60","2018-08-02 17:17:34"
"42","50","50","2018-08-02 17:17:46"
"43","60","60","2018-08-02 17:17:57"
"44","60","60","2018-08-02 17:18:08"
"45","60","60","2018-08-02 17:18:19"
"46","60","60","2018-08-02 17:18:30"
"47","70","70","2018-08-02 17:18:41"
"48","50","50","2018-08-02 17:18:50"
"49","60","60","2018-08-02 17:19:00"
"50","50","50","2018-08-02 17:19:10"
"51","50","50","2018-08-02 17:19:19"
"52","70","70","2018-08-02 17:19:30"
"53","70","70","2018-08-02 17:19:40"
"54","60","60","2018-08-02 17:19:55"
"55","50","50","2018-08-02 17:20:09"
