"id","det_int","det_int_redundant","date"
"1","60","60","2018-08-02 10:20:54"
"2","60","60","2018-08-02 10:21:00"
"3","60","60","2018-08-02 10:21:13"
"4","60","60","2018-08-02 10:21:24"
"5","50","50","2018-08-02 10:21:33"
"6","50","50","2018-08-02 10:21:46"
"7","50","50","2018-08-02 10:21:57"
"8","50","50","2018-08-02 10:22:09"
"9","50","50","2018-08-02 10:22:21"
"10","50","50","2018-08-02 10:22:29"
"11","50","50","2018-08-02 10:22:40"
"12","50","50","2018-08-02 10:22:50"
"13","50","50","2018-08-02 10:22:59"
"14","50","50","2018-08-02 10:23:09"
"15","50","50","2018-08-02 10:23:20"
"16","50","50","2018-08-02 10:23:27"
"17","40","40","2018-08-02 10:23:35"
"18","40","40","2018-08-02 10:23:44"
"19","50","50","2018-08-02 10:23:57"
"20","40","40","2018-08-02 10:24:11"
"21","50","50","2018-08-02 10:24:26"
"22","50","50","2018-08-02 10:24:36"
"23","50","50","2018-08-02 10:24:46"
"24","50","50","2018-08-02 10:24:54"
"25","50","50","2018-08-02 10:25:07"
"26","50","50","2018-08-02 10:25:20"
"27","50","50","2018-08-02 10:25:32"
"28","50","50","2018-08-02 10:25:46"
"29","50","50","2018-08-02 10:25:58"
"30","50","50","2018-08-02 10:26:06"
"31","40","40","2018-08-02 10:26:18"
"32","50","50","2018-08-02 10:26:28"
"33","40","40","2018-08-02 10:26:36"
"34","50","50","2018-08-02 10:26:45"
"35","60","60","2018-08-02 10:26:57"
"36","60","60","2018-08-02 10:27:06"
"37","60","60","2018-08-02 10:27:17"
"38","60","60","2018-08-02 10:27:26"
"39","60","60","2018-08-02 10:27:39"
"40","60","60","2018-08-02 10:27:52"
"41","60","60","2018-08-02 10:28:04"
"42","60","60","2018-08-02 10:28:16"
"43","50","50","2018-08-02 10:28:24"
"44","50","50","2018-08-02 10:28:34"
"45","50","50","2018-08-02 10:28:42"
"46","50","50","2018-08-02 10:28:53"
"47","60","60","2018-08-02 10:29:06"
"48","60","60","2018-08-02 10:29:19"
"49","50","50","2018-08-02 10:29:29"
"50","50","50","2018-08-02 10:29:38"
"51","50","50","2018-08-02 10:29:47"
"52","60","60","2018-08-02 10:30:00"
"53","60","60","2018-08-02 10:30:12"
"54","60","60","2018-08-02 10:30:22"
"55","50","50","2018-08-02 10:30:34"
