"id","det_int","det_int_redundant","date"
"1","0","0","2018-08-01 10:37:16"
"2","10","10","2018-08-01 10:37:28"
"3","0","0","2018-08-01 10:37:39"
"4","0","0","2018-08-01 10:37:46"
"5","0","0","2018-08-01 10:37:57"
"6","0","0","2018-08-01 10:38:10"
"7","0","0","2018-08-01 10:38:18"
"8","0","0","2018-08-01 10:38:29"
"9","0","0","2018-08-01 10:38:40"
"10","0","0","2018-08-01 10:38:49"
"11","0","0","2018-08-01 10:38:57"
"12","0","0","2018-08-01 10:39:07"
"13","0","0","2018-08-01 10:39:15"
"14","0","0","2018-08-01 10:39:25"
"15","0","0","2018-08-01 10:39:34"
"16","0","0","2018-08-01 10:39:46"
"17","0","0","2018-08-01 10:39:56"
"18","20","20","2018-08-01 10:40:04"
"19","0","0","2018-08-01 10:40:16"
"20","0","0","2018-08-01 10:40:29"
"21","20","20","2018-08-01 10:40:41"
"22","10","10","2018-08-01 10:40:52"
"23","0","0","2018-08-01 10:41:00"
"24","0","0","2018-08-01 10:41:08"
"25","0","0","2018-08-01 10:41:20"
"26","0","0","2018-08-01 10:41:32"
"27","0","0","2018-08-01 10:41:43"
"28","0","0","2018-08-01 10:41:51"
"29","0","0","2018-08-01 10:42:02"
"30","40","40","2018-08-01 10:42:10"
"31","0","0","2018-08-01 10:42:21"
"32","0","0","2018-08-01 10:42:33"
"33","0","0","2018-08-01 10:42:46"
"34","10","10","2018-08-01 10:42:57"
"35","0","0","2018-08-01 10:43:06"
"36","0","0","2018-08-01 10:43:17"
"37","10","10","2018-08-01 10:43:29"
"38","0","0","2018-08-01 10:43:39"
"39","0","0","2018-08-01 10:43:50"
"40","0","0","2018-08-01 10:44:04"
"41","0","0","2018-08-01 10:44:17"
"42","0","0","2018-08-01 10:44:29"
"43","0","0","2018-08-01 10:44:38"
"44","10","10","2018-08-01 10:44:48"
"45","0","0","2018-08-01 10:45:01"
"46","0","0","2018-08-01 10:45:12"
"47","40","40","2018-08-01 10:45:25"
"48","0","0","2018-08-01 10:45:36"
"49","0","0","2018-08-01 10:45:50"
"50","0","0","2018-08-01 10:45:58"
"51","0","0","2018-08-01 10:46:08"
"52","0","0","2018-08-01 10:46:21"
"53","0","0","2018-08-01 10:46:35"
"54","0","0","2018-08-01 10:46:46"
"55","0","0","2018-08-01 10:46:57"
"56","0","0","2018-08-01 10:47:12"
"57","0","0","2018-08-01 10:47:23"
"58","0","0","2018-08-01 10:47:34"
"59","10","10","2018-08-01 10:47:45"
"60","0","0","2018-08-01 10:47:56"
"61","0","0","2018-08-01 10:48:05"
"62","0","0","2018-08-01 10:48:16"
"63","0","0","2018-08-01 10:48:26"
"64","0","0","2018-08-01 10:48:33"
"65","0","0","2018-08-01 10:48:45"
"66","0","0","2018-08-01 10:48:57"
"67","0","0","2018-08-01 10:49:10"
"68","0","0","2018-08-01 10:49:24"
"69","0","0","2018-08-01 10:49:33"
"70","0","0","2018-08-01 10:49:44"
"71","10","10","2018-08-01 10:49:55"
"72","0","0","2018-08-01 10:50:04"
"73","0","0","2018-08-01 10:50:12"
"74","0","0","2018-08-01 10:50:24"
"75","0","0","2018-08-01 10:50:35"
"76","0","0","2018-08-01 10:50:48"
"77","0","0","2018-08-01 10:50:58"
"78","20","20","2018-08-01 10:51:09"
"79","0","0","2018-08-01 10:51:18"
"80","0","0","2018-08-01 10:51:29"
"81","0","0","2018-08-01 10:51:40"
"82","0","0","2018-08-01 10:51:51"
"83","30","30","2018-08-01 10:52:01"
"84","40","40","2018-08-01 10:52:12"
"85","10","10","2018-08-01 10:52:21"
"86","0","0","2018-08-01 10:52:31"
"87","10","10","2018-08-01 10:52:39"
"88","0","0","2018-08-01 10:52:50"
