"id","det_int","det_int_redundant","date"
"152","30","30","2018-06-29 17:51:08"
"153","30","30","2018-06-29 17:51:19"
"154","30","30","2018-06-29 17:51:31"
"155","30","30","2018-06-29 17:51:40"
"156","30","30","2018-06-29 17:51:48"
"157","30","30","2018-06-29 17:51:59"
"158","30","30","2018-06-29 17:52:07"
"159","30","30","2018-06-29 17:52:16"
"160","30","30","2018-06-29 17:52:27"
"161","30","30","2018-06-29 17:52:33"
"162","30","30","2018-06-29 17:52:40"
"163","30","30","2018-06-29 17:52:48"
"164","20","20","2018-06-29 17:53:00"
"165","30","30","2018-06-29 17:53:09"
"166","30","30","2018-06-29 17:53:23"
"167","30","30","2018-06-29 17:53:32"
"168","30","30","2018-06-29 17:53:46"
"169","30","30","2018-06-29 17:53:57"
"170","20","20","2018-06-29 17:54:06"
"171","20","20","2018-06-29 17:54:13"
"172","20","20","2018-06-29 17:54:25"
"173","20","20","2018-06-29 17:54:35"
"174","20","20","2018-06-29 17:54:45"
"175","20","20","2018-06-29 17:54:56"
