"id","det_int","det_int_redundant","date"
"1","40","40","2018-08-01 12:30:44"
"2","20","20","2018-08-01 12:30:54"
"3","10","10","2018-08-01 12:31:05"
"4","0","0","2018-08-01 12:31:14"
"5","10","10","2018-08-01 12:31:23"
"6","0","0","2018-08-01 12:31:31"
"7","0","0","2018-08-01 12:31:45"
"8","0","0","2018-08-01 12:31:55"
"9","0","0","2018-08-01 12:32:07"
"10","0","0","2018-08-01 12:32:13"
"11","0","0","2018-08-01 12:32:22"
"12","0","0","2018-08-01 12:32:31"
"13","0","0","2018-08-01 12:32:41"
"14","0","0","2018-08-01 12:32:53"
"15","0","0","2018-08-01 12:33:07"
"16","0","0","2018-08-01 12:33:20"
"17","0","0","2018-08-01 12:33:30"
"18","0","0","2018-08-01 12:33:39"
"19","0","0","2018-08-01 12:33:49"
"20","0","0","2018-08-01 12:33:58"
"21","0","0","2018-08-01 12:34:06"
"22","0","0","2018-08-01 12:34:17"
"23","0","0","2018-08-01 12:34:30"
"24","0","0","2018-08-01 12:34:40"
"25","10","10","2018-08-01 12:34:54"
"26","0","0","2018-08-01 12:35:05"
"27","0","0","2018-08-01 12:35:18"
"28","0","0","2018-08-01 12:35:30"
"29","10","10","2018-08-01 12:35:42"
"30","0","0","2018-08-01 12:35:50"
"31","20","20","2018-08-01 12:35:58"
"32","20","20","2018-08-01 12:36:09"
"33","10","10","2018-08-01 12:36:19"
"34","0","0","2018-08-01 12:36:26"
"35","20","20","2018-08-01 12:36:36"
"36","20","20","2018-08-01 12:36:44"
"37","10","10","2018-08-01 12:36:51"
"38","0","0","2018-08-01 12:37:01"
"39","0","0","2018-08-01 12:37:12"
"40","0","0","2018-08-01 12:37:22"
"41","0","0","2018-08-01 12:37:35"
"42","10","10","2018-08-01 12:37:43"
"43","20","20","2018-08-01 12:37:55"
"44","0","0","2018-08-01 12:38:07"
"45","10","10","2018-08-01 12:38:17"
"46","0","0","2018-08-01 12:38:29"
"47","10","10","2018-08-01 12:38:41"
"48","10","10","2018-08-01 12:38:51"
"49","0","0","2018-08-01 12:39:01"
"50","0","0","2018-08-01 12:39:08"
"51","0","0","2018-08-01 12:39:24"
"52","0","0","2018-08-01 12:39:33"
"53","0","0","2018-08-01 12:39:44"
"54","0","0","2018-08-01 12:39:56"
"55","0","0","2018-08-01 12:40:07"
"56","0","0","2018-08-01 12:40:19"
"57","0","0","2018-08-01 12:40:29"
"58","0","0","2018-08-01 12:40:42"
"59","10","10","2018-08-01 12:40:53"
"60","10","10","2018-08-01 12:41:06"
"61","0","0","2018-08-01 12:41:15"
"62","0","0","2018-08-01 12:41:25"
"63","10","10","2018-08-01 12:41:36"
"64","10","10","2018-08-01 12:41:45"
"65","10","10","2018-08-01 12:41:52"
"66","0","0","2018-08-01 12:42:01"
"67","0","0","2018-08-01 12:42:13"
"68","0","0","2018-08-01 12:42:25"
"69","0","0","2018-08-01 12:42:34"
"70","10","10","2018-08-01 12:42:42"
"71","10","10","2018-08-01 12:42:52"
"72","0","0","2018-08-01 12:43:04"
"73","0","0","2018-08-01 12:43:16"
"74","10","10","2018-08-01 12:43:29"
"75","20","20","2018-08-01 12:43:37"
"76","20","20","2018-08-01 12:43:45"
"77","10","10","2018-08-01 12:43:56"
"78","10","10","2018-08-01 12:44:08"
"79","0","0","2018-08-01 12:44:16"
"80","0","0","2018-08-01 12:44:30"
"81","0","0","2018-08-01 12:44:43"
"82","10","10","2018-08-01 12:44:55"
"83","0","0","2018-08-01 12:45:05"
"84","0","0","2018-08-01 12:45:16"
"85","0","0","2018-08-01 12:45:24"
"86","10","10","2018-08-01 12:45:35"
"87","10","10","2018-08-01 12:45:47"
"88","20","20","2018-08-01 12:45:57"
"89","20","20","2018-08-01 12:46:06"
