"id","det_int","det_int_redundant","date"
"1","100","100","2018-08-03 14:44:03"
"2","70","70","2018-08-03 14:44:13"
"3","80","80","2018-08-03 14:44:25"
"4","80","80","2018-08-03 14:44:38"
"5","80","80","2018-08-03 14:44:51"
"6","80","80","2018-08-03 14:45:03"
"7","80","80","2018-08-03 14:45:15"
"8","90","90","2018-08-03 14:45:24"
"9","80","80","2018-08-03 14:45:37"
"10","90","90","2018-08-03 14:45:50"
"11","90","90","2018-08-03 14:45:59"
"12","70","70","2018-08-03 14:46:11"
"13","80","80","2018-08-03 14:46:23"
"14","80","80","2018-08-03 14:46:34"
"15","90","90","2018-08-03 14:46:43"
"16","90","90","2018-08-03 14:46:55"
"17","100","100","2018-08-03 14:47:04"
"18","70","70","2018-08-03 14:47:15"
"19","80","80","2018-08-03 14:47:26"
"20","100","100","2018-08-03 14:47:36"
"21","90","90","2018-08-03 14:47:47"
"22","90","90","2018-08-03 14:47:57"
"23","90","90","2018-08-03 14:48:08"
"24","80","80","2018-08-03 14:48:20"
"25","80","80","2018-08-03 14:48:28"
"26","70","70","2018-08-03 14:48:38"
"27","80","80","2018-08-03 14:48:47"
"28","90","90","2018-08-03 14:48:58"
"29","90","90","2018-08-03 14:49:04"
"30","80","80","2018-08-03 14:49:14"
"31","80","80","2018-08-03 14:49:24"
"32","80","80","2018-08-03 14:49:34"
"33","90","90","2018-08-03 14:49:47"
"34","90","90","2018-08-03 14:49:59"
"35","80","80","2018-08-03 14:50:08"
"36","80","80","2018-08-03 14:50:20"
"37","80","80","2018-08-03 14:50:33"
"38","80","80","2018-08-03 14:50:43"
"39","80","80","2018-08-03 14:50:53"
"40","90","90","2018-08-03 14:51:03"
"41","90","90","2018-08-03 14:51:14"
"42","90","90","2018-08-03 14:51:24"
"43","80","80","2018-08-03 14:51:36"
"44","80","80","2018-08-03 14:51:48"
"45","90","90","2018-08-03 14:51:58"
"46","90","90","2018-08-03 14:52:09"
"47","90","90","2018-08-03 14:52:17"
"48","90","90","2018-08-03 14:52:26"
"49","70","70","2018-08-03 14:52:35"
"50","80","80","2018-08-03 14:52:44"
"51","90","90","2018-08-03 14:52:56"
"52","80","80","2018-08-03 14:53:09"
"53","80","80","2018-08-03 14:53:18"
"54","80","80","2018-08-03 14:53:27"
"55","90","90","2018-08-03 14:53:34"
"56","80","80","2018-08-03 14:53:44"
"57","100","100","2018-08-03 14:53:58"
"58","80","80","2018-08-03 14:54:06"
