"id","det_int","date"
"147","0","2018-06-29 11:08:02"
"148","0","2018-06-29 11:08:13"
"149","0","2018-06-29 11:08:20"
"150","0","2018-06-29 11:08:26"
"151","0","2018-06-29 11:08:37"
"152","0","2018-06-29 11:08:51"
"153","0","2018-06-29 11:09:03"
"154","0","2018-06-29 11:09:11"
"155","0","2018-06-29 11:09:23"
"156","0","2018-06-29 11:09:36"
"157","0","2018-06-29 11:09:44"
"158","0","2018-06-29 11:09:57"
"159","0","2018-06-29 11:10:09"
"160","0","2018-06-29 11:10:21"
"161","0","2018-06-29 11:10:32"
"162","0","2018-06-29 11:10:42"
"163","0","2018-06-29 11:10:53"
"164","0","2018-06-29 11:11:03"
"165","0","2018-06-29 11:11:13"
"166","0","2018-06-29 11:11:23"
"167","0","2018-06-29 11:11:34"
"168","0","2018-06-29 11:11:46"
"169","0","2018-06-29 11:11:59"
"170","0","2018-06-29 11:12:07"
"171","0","2018-06-29 11:12:15"
"172","0","2018-06-29 11:12:24"
"173","0","2018-06-29 11:12:36"
"174","0","2018-06-29 11:12:47"
"175","0","2018-06-29 11:12:57"
