"id","det_int","det_int_redundant","date"
"1","60","60","2018-08-02 12:43:56"
"2","60","60","2018-08-02 12:44:07"
"3","60","60","2018-08-02 12:44:15"
"4","70","70","2018-08-02 12:44:26"
"5","60","60","2018-08-02 12:44:37"
"6","60","60","2018-08-02 12:44:47"
"7","60","60","2018-08-02 12:44:59"
"8","60","60","2018-08-02 12:45:10"
"9","60","60","2018-08-02 12:45:19"
"10","60","60","2018-08-02 12:45:27"
"11","70","70","2018-08-02 12:45:41"
"12","70","70","2018-08-02 12:45:51"
"13","70","70","2018-08-02 12:46:02"
"14","70","70","2018-08-02 12:46:13"
"15","70","70","2018-08-02 12:46:25"
"16","70","70","2018-08-02 12:46:33"
"17","70","70","2018-08-02 12:46:43"
"18","70","70","2018-08-02 12:46:56"
"19","70","70","2018-08-02 12:47:07"
"20","70","70","2018-08-02 12:47:17"
"21","70","70","2018-08-02 12:47:29"
"22","60","60","2018-08-02 12:47:38"
"23","60","60","2018-08-02 12:47:53"
"24","70","70","2018-08-02 12:48:02"
"25","70","70","2018-08-02 12:48:11"
"26","70","70","2018-08-02 12:48:21"
"27","60","60","2018-08-02 12:48:32"
"28","60","60","2018-08-02 12:48:43"
"29","60","60","2018-08-02 12:48:55"
"30","60","60","2018-08-02 12:49:06"
"31","60","60","2018-08-02 12:49:16"
"32","50","50","2018-08-02 12:49:26"
"33","50","50","2018-08-02 12:49:39"
"34","60","60","2018-08-02 12:49:54"
"35","50","50","2018-08-02 12:50:05"
"36","60","60","2018-08-02 12:50:16"
"37","70","70","2018-08-02 12:50:27"
"38","60","60","2018-08-02 12:50:37"
"39","70","70","2018-08-02 12:50:49"
"40","70","70","2018-08-02 12:51:02"
"41","70","70","2018-08-02 12:51:12"
"42","70","70","2018-08-02 12:51:23"
"43","70","70","2018-08-02 12:51:34"
"44","70","70","2018-08-02 12:51:44"
"45","70","70","2018-08-02 12:51:58"
"46","60","60","2018-08-02 12:52:06"
"47","60","60","2018-08-02 12:52:15"
"48","60","60","2018-08-02 12:52:21"
"49","50","50","2018-08-02 12:52:27"
"50","60","60","2018-08-02 12:52:38"
"51","50","50","2018-08-02 12:52:49"
"52","50","50","2018-08-02 12:52:58"
"53","60","60","2018-08-02 12:53:08"
"54","50","50","2018-08-02 12:53:20"
"55","60","60","2018-08-02 12:53:31"
