"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"4808","5210","2.00","3","66457","1248197","15544","15155","0","0","9637","318043","2726","3452","0","0","2018-08-30 11:22:36"
"4809","6490","2.00","4","79176","1563222","20764","19052","0","0","12719","315025","5220","3897","0","0","2018-08-30 11:22:46"
"4810","7770","2.00","5","107121","1862893","26796","23546","0","0","27945","299671","6032","4494","0","0","2018-08-30 11:22:56"
"4811","9050","2.00","6","119191","2178503","31668","27496","0","0","12070","315610","4872","3950","0","0","2018-08-30 11:23:06"
"4812","10330","2.00","7","145784","2479590","37062","31445","0","0","26593","301087","5394","3949","0","0","2018-08-30 11:23:16"
"4813","11610","2.00","8","157777","2795277","41875","35156","0","0","11993","315687","4813","3711","0","0","2018-08-30 11:23:26"
"4814","12890","2.00","9","167343","3113463","44485","38500","0","0","9566","318186","2610","3344","0","0","2018-08-30 11:23:36"
"4815","14170","2.00","10","192635","3415779","49067","42523","0","0","25291","302316","4582","4023","0","0","2018-08-30 11:23:46"
"4816","15450","2.00","11","204677","3731418","53823","46269","0","0","12042","315639","4756","3746","0","0","2018-08-30 11:23:56"
"4817","16730","2.00","12","234149","4029625","61768","50978","0","0","29472","298207","7945","4709","0","0","2018-08-30 11:24:06"
"4818","18010","2.00","13","246134","4345320","66581","54981","0","0","11985","315695","4813","4003","0","0","2018-08-30 11:24:16"
"4819","19290","2.00","14","258191","4661009","71395","58700","0","0","12056","315689","4814","3719","0","0","2018-08-30 11:24:26"
"4820","20570","2.00","15","283928","4962886","76151","62644","0","0","25737","301877","4756","3944","0","0","2018-08-30 11:24:36"
"4821","21850","2.00","16","293074","5281420","78471","65918","0","0","9146","318534","2320","3274","0","0","2018-08-30 11:24:46"
"4822","23130","2.00","17","321182","5580992","85025","70274","0","0","28108","299572","6554","4356","0","0","2018-08-30 11:24:56"
"4823","24410","2.00","18","333168","5896686","89839","73981","0","0","11986","315694","4814","3707","0","0","2018-08-30 11:25:06"
"4824","25690","2.00","19","344673","6212933","93667","77793","0","0","11505","316247","3828","3812","0","0","2018-08-30 11:25:16"
