"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"190","1355","2.00","0","57747","269818","34455","10439","0","0","57747","269818","34455","10439","0","0","2018-08-30 10:44:35"
"191","2635","2.00","1","120560","534685","69430","21012","0","0","62813","264867","34975","10573","0","0","2018-08-30 10:44:45"
"192","3915","2.00","2","183179","799746","104118","31962","0","0","62619","265061","34688","10950","0","0","2018-08-30 10:44:55"
"193","5195","2.00","3","257240","1053365","147160","45238","0","0","74061","253619","43042","13276","0","0","2018-08-30 10:45:05"
"194","6475","2.00","4","341855","1296430","198322","60499","0","0","84614","243065","51162","15261","0","0","2018-08-30 10:45:15"
"195","7755","2.00","5","417589","1548376","242466","74031","0","0","75734","251946","44144","13532","0","0","2018-08-30 10:45:25"
"196","9035","2.00","6","483504","1810142","279937","85375","0","0","65915","261766","37471","11344","0","0","2018-08-30 10:45:35"
"197","10315","2.00","7","557867","2063458","323617","98197","0","0","74363","253316","43680","12822","0","0","2018-08-30 10:45:45"
"198","11595","2.00","8","621912","2327093","359173","109314","0","0","64045","263635","35556","11117","0","0","2018-08-30 10:45:55"
"199","12875","2.00","9","692135","2584550","398853","121816","0","0","70223","257457","39680","12502","0","0","2018-08-30 10:46:05"
"200","14155","2.00","10","756967","2847398","434585","133288","0","0","64832","262848","35732","11472","0","0","2018-08-30 10:46:15"
"201","15435","2.00","11","827804","3104241","475426","145758","0","0","70836","256843","40841","12470","0","0","2018-08-30 10:46:25"
"202","16715","2.00","12","902855","3357050","519509","158942","0","0","75050","252809","44083","13184","0","0","2018-08-30 10:46:35"
"203","17995","2.00","13","971827","3615714","559302","170697","0","0","68971","258664","39793","11755","0","0","2018-08-30 10:46:45"
"204","19275","2.00","14","1050568","3864697","606692","184380","0","0","78740","248983","47390","13683","0","0","2018-08-30 10:46:55"
"205","20555","2.00","15","1113827","4129074","641961","195126","0","0","63258","264377","35269","10746","0","0","2018-08-30 10:47:05"
"206","21835","2.00","16","1194860","4375791","690628","209529","0","0","81032","246717","48667","14403","0","0","2018-08-30 10:47:15"
"207","23115","2.00","17","1258012","4640275","725954","220057","0","0","63151","264484","35326","10528","0","0","2018-08-30 10:47:25"
"208","24395","2.00","18","1319961","4906007","759887","230619","0","0","61948","265732","33933","10562","0","0","2018-08-30 10:47:35"
"209","25675","2.00","19","1389415","5164227","799448","242798","0","0","69453","258220","39561","12179","0","0","2018-08-30 10:47:45"
"210","1370","2.00","0","25525","306152","8410","4881","0","0","25525","306152","8410","4881","0","0","2018-08-30 10:48:01"
"211","2650","2.00","1","56006","603348","17168","9787","0","0","30481","297196","8758","4906","0","0","2018-08-30 10:48:11"
"212","3930","2.00","2","86516","900518","25926","14396","0","0","30509","297170","8758","4609","0","0","2018-08-30 10:48:21"
"213","5210","2.00","3","156191","1158456","65309","26798","0","0","69674","257938","39383","12402","0","0","2018-08-30 10:48:31"
"214","6490","2.00","4","187150","1455177","74415","31620","0","0","30959","296721","9106","4822","0","0","2018-08-30 10:48:41"
"215","7770","2.00","5","219910","1750097","84507","36842","0","0","32760","294920","10092","5222","0","0","2018-08-30 10:48:51"
"216","9050","2.00","6","253651","2044036","95237","42294","0","0","33741","293939","10730","5452","0","0","2018-08-30 10:49:01"
"217","10330","2.00","7","284475","2340892","104285","46972","0","0","30824","296856","9048","4678","0","0","2018-08-30 10:49:11"
"218","11610","2.00","8","315910","2637137","113681","51818","0","0","31435","296245","9396","4846","0","0","2018-08-30 10:49:21"
"219","12890","2.00","9","347865","2932862","123309","57062","0","0","31955","295725","9628","5244","0","0","2018-08-30 10:49:31"
"220","14170","2.00","10","380422","3227985","133459","62168","0","0","32556","295123","10150","5106","0","0","2018-08-30 10:49:41"
"221","15450","2.00","11","417782","3518305","147148","68580","0","0","37360","290320","13689","6412","0","0","2018-08-30 10:49:51"
"222","16730","2.00","12","449160","3814607","156428","73645","0","0","31378","296302","9280","5065","0","0","2018-08-30 10:50:01"
"223","18010","2.00","13","482280","4109167","166868","79014","0","0","33120","294560","10440","5369","0","0","2018-08-30 10:50:11"
"224","19290","2.00","14","513444","4405683","176032","84200","0","0","31163","296516","9164","5185","0","0","2018-08-30 10:50:21"
"225","20570","2.00","15","545493","4701315","185777","89194","0","0","32049","295632","9745","4994","0","0","2018-08-30 10:50:31"
"226","21850","2.00","16","576421","4998066","194825","94017","0","0","30928","296751","9048","4823","0","0","2018-08-30 10:50:41"
"227","23130","2.00","17","607526","5294641","203932","98795","0","0","31105","296575","9107","4778","0","0","2018-08-30 10:50:51"
"228","24410","2.00","18","639172","5590675","213444","104001","0","0","31646","296034","9512","5206","0","0","2018-08-30 10:51:01"
"229","25690","2.00","19","670027","5887500","222434","109067","0","0","30854","296825","8990","5066","0","0","2018-08-30 10:51:11"
"230","26970","2.00","20","708180","6177028","236644","115537","0","0","38152","289528","14210","6470","0","0","2018-08-30 10:51:21"
"231","28250","2.00","21","739514","6473373","245866","120490","0","0","31334","296345","9222","4953","0","0","2018-08-30 10:51:31"
"232","29530","2.00","22","772376","6768191","256074","126078","0","0","32862","294818","10208","5588","0","0","2018-08-30 10:51:41"
"233","30810","2.00","23","804388","7063859","265761","131279","0","0","32012","295668","9687","5201","0","0","2018-08-30 10:51:51"
"234","32090","2.00","24","842168","7353759","280203","137315","0","0","37780","289900","14442","6036","0","0","2018-08-30 10:52:01"
"235","33370","2.00","25","876254","7647353","290934","143033","0","0","34086","293594","10731","5718","0","0","2018-08-30 10:52:11"
"236","34650","2.00","26","907603","7943684","300098","148121","0","0","31349","296331","9164","5088","0","0","2018-08-30 10:52:21"
"237","35930","2.00","27","937807","8241160","308624","152851","0","0","30204","297476","8526","4730","0","0","2018-08-30 10:52:31"
"238","37210","2.00","28","969297","8537350","317904","158078","0","0","31490","296190","9280","5227","0","0","2018-08-30 10:52:41"
"239","38490","2.00","29","999601","8834726","326488","162775","0","0","30304","297376","8584","4697","0","0","2018-08-30 10:52:51"
"240","39770","2.00","30","1029891","9132116","335072","167556","0","0","30290","297390","8584","4781","0","0","2018-08-30 10:53:01"
"241","41050","2.00","31","1060338","9429349","343714","172477","0","0","30447","297233","8642","4921","0","0","2018-08-30 10:53:11"
"242","42330","2.00","32","1090968","9726399","352530","177232","0","0","30630","297050","8816","4755","0","0","2018-08-30 10:53:21"
"243","43610","2.00","33","1124385","10020662","363144","182779","0","0","33417","294263","10614","5547","0","0","2018-08-30 10:53:31"
"244","44890","2.00","34","1158221","10314506","374511","188300","0","0","33836","293844","11367","5521","0","0","2018-08-30 10:53:41"
"245","46170","2.00","35","1193159","10607248","386341","194462","0","0","34938","292742","11830","6162","0","0","2018-08-30 10:53:51"
"246","47450","2.00","36","1223941","10904146","395331","199145","0","0","30781","296898","8990","4683","0","0","2018-08-30 10:54:01"
"247","48730","2.00","37","1255591","11200176","404843","204415","0","0","31650","296030","9512","5270","0","0","2018-08-30 10:54:11"
"248","50010","2.00","38","1288439","11495008","415225","209883","0","0","32848","294832","10382","5468","0","0","2018-08-30 10:54:21"
"249","51290","2.00","39","1323222","11787905","426883","215586","0","0","34783","292897","11658","5703","0","0","2018-08-30 10:54:31"
"250","52570","2.00","40","1354067","12084740","435873","220273","0","0","30845","296835","8990","4687","0","0","2018-08-30 10:54:41"
"251","53850","2.00","41","1384891","12381596","444922","225142","0","0","30824","296856","9049","4869","0","0","2018-08-30 10:54:51"
"252","55130","2.00","42","1419694","12674473","456869","230931","0","0","34803","292877","11947","5789","0","0","2018-08-30 10:55:01"
"253","56410","2.00","43","1455961","12965886","470034","236702","0","0","36267","291413","13165","5771","0","0","2018-08-30 10:55:11"
"254","57690","2.00","44","1487293","13262234","479490","241792","0","0","31332","296348","9456","5090","0","0","2018-08-30 10:55:21"
"255","58970","2.00","45","1519637","13557570","489466","246951","0","0","32344","295336","9976","5159","0","0","2018-08-30 10:55:31"
"256","60250","2.00","46","1550769","13854118","498630","252237","0","0","31131","296548","9164","5285","0","0","2018-08-30 10:55:41"
"257","61530","2.00","47","1581270","14151297","507214","257125","0","0","30501","297179","8584","4888","0","0","2018-08-30 10:55:51"
"258","62810","2.00","48","1613769","14446478","517132","262482","0","0","32499","295181","9918","5357","0","0","2018-08-30 10:56:01"
"259","64090","2.00","49","1643935","14743992","525484","267406","0","0","30166","297514","8352","4924","0","0","2018-08-30 10:56:11"
"260","65370","2.00","50","1675494","15040113","534821","272748","0","0","31559","296121","9337","5342","0","0","2018-08-30 10:56:21"
"261","66650","2.00","51","1705659","15337628","543289","277298","0","0","30165","297515","8468","4550","0","0","2018-08-30 10:56:31"
"262","67930","2.00","52","1736879","15634088","552395","282232","0","0","31220","296460","9106","4934","0","0","2018-08-30 10:56:41"
"263","69210","2.00","53","1767575","15931072","560979","287081","0","0","30695","296984","8584","4849","0","0","2018-08-30 10:56:51"
"264","70490","2.00","54","1805928","16220399","575885","293196","0","0","38353","289327","14906","6115","0","0","2018-08-30 10:57:01"
"265","71770","2.00","55","1836079","16517928","584353","297851","0","0","30151","297529","8468","4655","0","0","2018-08-30 10:57:11"
"266","73050","2.00","56","1866322","16815365","592879","302531","0","0","30243","297437","8526","4680","0","0","2018-08-30 10:57:21"
"267","74330","2.00","57","1895736","17113631","600651","307276","0","0","29414","298266","7772","4745","0","0","2018-08-30 10:57:31"
"268","75610","2.00","58","1934118","17402929","614687","313745","0","0","38381","289298","14036","6469","0","0","2018-08-30 10:57:41"
"269","76890","2.00","59","1971920","17692808","628375","320269","0","0","37802","289879","13688","6524","0","0","2018-08-30 10:57:51"
"270","78170","2.00","60","2007540","17984867","640731","326335","0","0","35620","292059","12356","6066","0","0","2018-08-30 10:58:01"
