"id","clock_time","linkaddr_node_addr","seqno","all_cpu","all_lpm","all_transmit","all_listen","all_idle_transmit","all_idle_listen","cpu","lpm","transmit","listen","idle_transmit","idle_listen","date"
"1","9050","2.00","6","237406","2060282","89261","95826","0","0","47633","280019","22215","16419","0","0","2018-08-16 12:59:18"
"2","10330","2.00","7","271198","2354170","101383","109903","0","0","33791","293888","12122","14077","0","0","2018-08-16 12:59:28"
"3","11610","2.00","8","299618","2653456","109213","122324","0","0","28419","299286","7830","12421","0","0","2018-08-16 12:59:38"
"4","12890","2.00","9","338486","2942267","125279","136275","0","0","38868","288811","16066","13951","0","0","2018-08-16 12:59:48"
"5","14170","2.00","10","382572","3225845","145173","150977","0","0","44085","283578","19894","14702","0","0","2018-08-16 12:59:58"
"6","15450","2.00","11","440816","3495295","175735","168791","0","0","58244","269450","30562","17813","0","0","2018-08-16 13:00:08"
"7","16730","2.00","12","471541","3792227","185885","180506","0","0","30724","296932","10150","11715","0","0","2018-08-16 13:00:18"
"8","17995","2.00","13","511806","4075631","203400","194700","0","0","40264","283404","17515","14194","0","0","2018-08-16 13:00:28"
"9","19290","2.00","14","540325","4378803","211462","206366","0","0","28518","303172","8062","11666","0","0","2018-08-16 13:00:38"
"10","20555","2.00","15","573731","4669049","223179","219022","0","0","33405","290246","11717","12656","0","0","2018-08-16 13:00:48"
"11","21835","2.00","16","590962","4979671","223179","229020","0","0","17230","310622","0","9998","0","0","2018-08-16 13:00:58"
"12","23130","2.00","17","608826","5293343","223411","238981","0","0","17864","313672","232","9961","0","0","2018-08-16 13:01:08"
"13","24410","2.00","18","656346","5573502","245391","253969","0","0","47519","280159","21980","14988","0","0","2018-08-16 13:01:18"
"14","25675","2.00","19","683541","5870014","252873","265785","0","0","27194","296512","7482","11816","0","0","2018-08-16 13:01:28"
"15","26970","2.00","20","714421","6170816","262966","278193","0","0","30879","300802","10093","12407","0","0","2018-08-16 13:01:38"
"16","28235","2.00","21","760834","6448101","284076","293647","0","0","46413","277285","21110","15454","0","0","2018-08-16 13:01:48"
"17","29515","2.00","22","803766","6732857","302461","307966","0","0","42931","284756","18385","14318","0","0","2018-08-16 13:01:58"
"18","30810","2.00","23","839237","7029020","316265","321270","0","0","35470","296163","13804","13304","0","0","2018-08-16 13:02:08"
