"id","nodeID","seqno","x","y","parent_plot","est_int","date"
"51929","1.00","0","110","30","1.00","0","2018-09-20 16:06:31"
"51930","2.00","1527","60","30","1.00","1527","2018-09-20 16:06:32"
"51931","1.00","0","110","30","1.00","0","2018-09-20 16:06:32"
"51932","5.00","1305","10","20","2.00","1305","2018-09-20 16:06:33"
"51933","1.00","0","110","30","1.00","0","2018-09-20 16:06:33"
"51934","3.00","917","10","30","5.00","917","2018-09-20 16:06:33"
"51935","1.00","0","110","30","1.00","0","2018-09-20 16:06:33"
"51936","4.00","1407","60","20","2.00","1407","2018-09-20 16:06:34"
"51937","1.00","0","110","30","1.00","0","2018-09-20 16:06:34"
"51938","4.00","1408","60","20","2.00","1408","2018-09-20 16:06:34"
"51939","1.00","0","110","30","1.00","0","2018-09-20 16:06:34"
"51940","3.00","918","10","30","5.00","918","2018-09-20 16:06:34"
"51941","1.00","0","110","30","1.00","0","2018-09-20 16:06:34"
"51942","2.00","1528","60","30","1.00","1528","2018-09-20 16:06:34"
"51943","1.00","0","110","30","1.00","0","2018-09-20 16:06:34"
"51944","5.00","1306","10","20","2.00","1306","2018-09-20 16:06:35"
"51945","1.00","0","110","30","1.00","0","2018-09-20 16:06:35"
"51946","2.00","1529","60","30","1.00","1529","2018-09-20 16:06:36"
"51947","1.00","0","110","30","1.00","0","2018-09-20 16:06:36"
"51948","3.00","919","10","30","5.00","919","2018-09-20 16:06:37"
"51949","1.00","0","110","30","1.00","0","2018-09-20 16:06:37"
"51950","4.00","1409","60","20","2.00","1409","2018-09-20 16:06:37"
"51951","1.00","0","110","30","1.00","0","2018-09-20 16:06:37"
"51952","5.00","1307","10","20","2.00","1307","2018-09-20 16:06:37"
"51953","1.00","0","110","30","1.00","0","2018-09-20 16:06:37"
"51954","2.00","1530","60","30","1.00","1530","2018-09-20 16:06:37"
"51955","1.00","0","110","30","1.00","0","2018-09-20 16:06:37"
"51956","5.00","1308","10","20","2.00","1308","2018-09-20 16:06:38"
"51957","1.00","0","110","30","1.00","0","2018-09-20 16:06:38"
"51958","6.00","1059","60","10","2.00","1059","2018-09-20 16:06:39"
"51959","1.00","0","110","30","1.00","0","2018-09-20 16:06:39"
"51960","4.00","1410","60","20","2.00","1410","2018-09-20 16:06:39"
"51961","1.00","0","110","30","1.00","0","2018-09-20 16:06:39"
"51962","3.00","920","10","30","5.00","920","2018-09-20 16:06:39"
"51963","1.00","0","110","30","1.00","0","2018-09-20 16:06:39"
"51964","5.00","1309","10","20","2.00","1309","2018-09-20 16:06:40"
"51965","1.00","0","110","30","1.00","0","2018-09-20 16:06:40"
"51966","2.00","1531","60","30","1.00","1531","2018-09-20 16:06:40"
"51967","1.00","0","110","30","1.00","0","2018-09-20 16:06:40"
"51968","4.00","1411","60","20","2.00","1411","2018-09-20 16:06:41"
"51969","1.00","0","110","30","1.00","0","2018-09-20 16:06:41"
"51970","3.00","921","10","30","5.00","921","2018-09-20 16:06:41"
"51971","1.00","0","110","30","1.00","0","2018-09-20 16:06:41"
"51972","2.00","1532","60","30","1.00","1532","2018-09-20 16:06:41"
"51973","1.00","0","110","30","1.00","0","2018-09-20 16:06:41"
"51974","5.00","1310","10","20","2.00","1310","2018-09-20 16:06:41"
"51975","1.00","0","110","30","1.00","0","2018-09-20 16:06:41"
"51976","3.00","922","10","30","5.00","922","2018-09-20 16:06:42"
"51977","1.00","0","110","30","1.00","0","2018-09-20 16:06:42"
"51978","4.00","1412","60","20","2.00","1412","2018-09-20 16:06:43"
"51979","1.00","0","110","30","1.00","0","2018-09-20 16:06:43"
"51980","5.00","1311","10","20","2.00","1311","2018-09-20 16:06:44"
"51981","1.00","0","110","30","1.00","0","2018-09-20 16:06:44"
"51982","2.00","1533","60","30","1.00","1533","2018-09-20 16:06:44"
"51983","1.00","0","110","30","1.00","0","2018-09-20 16:06:44"
"51984","4.00","1413","60","20","2.00","1413","2018-09-20 16:06:44"
"51985","1.00","0","110","30","1.00","0","2018-09-20 16:06:44"
"51986","3.00","923","10","30","5.00","923","2018-09-20 16:06:45"
"51987","1.00","0","110","30","1.00","0","2018-09-20 16:06:45"
"51988","2.00","1534","60","30","1.00","1534","2018-09-20 16:06:45"
"51989","1.00","0","110","30","1.00","0","2018-09-20 16:06:45"
"51990","4.00","1414","60","20","2.00","1414","2018-09-20 16:06:46"
"51991","1.00","0","110","30","1.00","0","2018-09-20 16:06:46"
"51992","7.00","1117","10","10","5.00","1117","2018-09-20 16:06:47"
"51993","1.00","0","110","30","1.00","0","2018-09-20 16:06:47"
"51994","5.00","1312","10","20","2.00","1312","2018-09-20 16:06:48"
"51995","1.00","0","110","30","1.00","0","2018-09-20 16:06:48"
"51996","3.00","924","10","30","5.00","924","2018-09-20 16:06:48"
"51997","1.00","0","110","30","1.00","0","2018-09-20 16:06:48"
"51998","2.00","1535","60","30","1.00","1535","2018-09-20 16:06:48"
"51999","1.00","0","110","30","1.00","0","2018-09-20 16:06:48"
"52000","6.00","1067","60","10","2.00","1067","2018-09-20 16:06:48"
"52001","1.00","0","110","30","1.00","0","2018-09-20 16:06:48"
"52002","3.00","925","10","30","5.00","925","2018-09-20 16:06:49"
"52003","1.00","0","110","30","1.00","0","2018-09-20 16:06:49"
"52004","2.00","1536","60","30","1.00","1536","2018-09-20 16:06:49"
"52005","1.00","0","110","30","1.00","0","2018-09-20 16:06:49"
"52006","5.00","1313","10","20","2.00","1313","2018-09-20 16:06:50"
"52007","1.00","0","110","30","1.00","0","2018-09-20 16:06:50"
"52008","5.00","1314","10","20","2.00","1314","2018-09-20 16:06:51"
"52009","1.00","0","110","30","1.00","0","2018-09-20 16:06:51"
"52010","3.00","926","10","30","5.00","926","2018-09-20 16:06:51"
"52011","1.00","0","110","30","1.00","0","2018-09-20 16:06:51"
"52012","3.00","927","10","30","5.00","927","2018-09-20 16:06:51"
"52013","1.00","0","110","30","1.00","0","2018-09-20 16:06:51"
"52014","2.00","1537","60","30","1.00","1537","2018-09-20 16:06:52"
"52015","1.00","0","110","30","1.00","0","2018-09-20 16:06:52"
"52016","5.00","1315","10","20","2.00","1315","2018-09-20 16:06:53"
"52017","1.00","0","110","30","1.00","0","2018-09-20 16:06:53"
"52018","2.00","1538","60","30","1.00","1538","2018-09-20 16:06:53"
"52019","1.00","0","110","30","1.00","0","2018-09-20 16:06:53"
"52020","4.00","1415","60","20","2.00","1415","2018-09-20 16:06:53"
"52021","1.00","0","110","30","1.00","0","2018-09-20 16:06:53"
"52022","4.00","1416","60","20","2.00","1416","2018-09-20 16:06:54"
"52023","1.00","0","110","30","1.00","0","2018-09-20 16:06:54"
"52024","4.00","1417","60","20","2.00","1417","2018-09-20 16:06:55"
"52025","1.00","0","110","30","1.00","0","2018-09-20 16:06:55"
"52026","4.00","1418","60","20","2.00","1418","2018-09-20 16:06:55"
"52027","1.00","0","110","30","1.00","0","2018-09-20 16:06:55"
"52028","2.00","1539","60","30","1.00","1539","2018-09-20 16:06:55"
"52029","1.00","0","110","30","1.00","0","2018-09-20 16:06:55"
"52030","4.00","1419","60","20","2.00","1419","2018-09-20 16:06:56"
"52031","1.00","0","110","30","1.00","0","2018-09-20 16:06:56"
"52032","5.00","1316","10","20","2.00","1316","2018-09-20 16:06:58"
"52033","1.00","0","110","30","1.00","0","2018-09-20 16:06:58"
"52034","3.00","928","10","30","5.00","928","2018-09-20 16:06:58"
"52035","1.00","0","110","30","1.00","0","2018-09-20 16:06:58"
"52036","5.00","1317","10","20","2.00","1317","2018-09-20 16:06:58"
"52037","1.00","0","110","30","1.00","0","2018-09-20 16:06:58"
"52038","2.00","1540","60","30","1.00","1540","2018-09-20 16:06:58"
"52039","1.00","0","110","30","1.00","0","2018-09-20 16:06:58"
"52040","4.00","1420","60","20","2.00","1420","2018-09-20 16:06:58"
"52041","1.00","0","110","30","1.00","0","2018-09-20 16:06:58"
"52042","4.00","1421","60","20","2.00","1421","2018-09-20 16:06:59"
"52043","1.00","0","110","30","1.00","0","2018-09-20 16:06:59"
"52044","2.00","1541","60","30","1.00","1541","2018-09-20 16:07:00"
"52045","1.00","0","110","30","1.00","0","2018-09-20 16:07:00"
"52046","2.00","1542","60","30","1.00","1542","2018-09-20 16:07:01"
"52047","1.00","0","110","30","1.00","0","2018-09-20 16:07:01"
